rid,outage_name,matched_cec_plant,pmax,cec_cap
ALTA3A_2_CPCE8,Alta Wind 8,Alta I Wind Energy Center,150.0,150.0
ASTORA_2_SOLAR2,Astoria 2,RE Astoria 2,75.0,75.0
BALCHS_7_UNIT 1,BALCH 1 PH UNIT 1,Balch #1,31.0,34.0
COCOPP_2_CTG1,Marsh Landing 1,Marsh Landing Generating Station,204.2,828.0
CRESTA_7_PL1X2,CRESTA PH UNIT 1 & 2 AGGREGATE,Cresta,70.4,70.0
DONNLS_7_UNIT,Donnells Hydro,Donnells,72.0,72.0
ELKHIL_2_PL1X3,ELK HILLS COMBINED CYCLE (AGGREGATE),Elk Hills Power  LLC,551.7,567.0
GASKW1_2_GW3SR1,Gaskell West 3,Gaskell West 1,20.0,20.0
GUERNS_6_HD3BM3,Hanford Digester Genset 3,Hanford Digester Genset 2 (CAISO),1.0,1.02
HATRDG_2_WIND,Hatchet Ridge Wind Farm,"Hatchet Ridge Wind, LLC",102.0,101.2
HELMPG_7_UNIT 1,HELMS PUMP-GEN UNIT 1,Helms (Pumped Storage),407.0,1212.0
HERDLN_6_BYHSR1,Byron Highway Solar,Byron Highway Solar (CAISO),5.0,5.0
HUMBPP_6_UNITS,Humboldt Bay Generating Station 1,Humboldt Bay,97.62,167.0
INYOKN_1_IKSSR1,Inyokern Solar 1203,Inyokern Solar 1203 (CAISO),19.9,19.9
KERNEY_6_FCSSR1,Fresno Community Solar,Fresno Community Solar (CAISO),10.0,10.0
KERRGN_1_UNIT 1,KERN RIVER HYDRO UNITS 1-4 AGGREGATE,Kern River 1,25.6,24.8
LMEC_1_PL1X3,Los Medanos Energy Center AGGREGATE,Los Medanos Energy Center,580.0,594.0
PHOENX_1_UNIT,PHOENIX PH,Phoenix,2.0,1.6
PIOPIC_2_CTG2,Pio Pico Unit 2,Pio Pico Energy Center,112.7,336.0
PIT7_7_UNIT 2,PIT PH 7 UNIT 2,Pit #1,54.6,63.0
SPRGVL_2_TULESC,TULE RIVER HYDRO PLANT (SCE),Tule River,2.5,2.52
SUNRIS_2_PL1X3,Sunrise Power Project AGGREGATE II,Sunrise Power,586.02,572.0
TIGRCK_7_UNITS,TIGER CREEK HYDRO AGGREGATE,Tiger Creek,62.0,60.0
TX-ELK_6_ECKSR2,Eagle Creek,Eagle Creek (CAISO),3.0,3.0
VISTRA_5_DALBT4,Dallas Energy Storage 4,Dallas Energy Storage,100.0,400.0
